window,temperature,direction,lambda1,lambda2,alpha,uh,w0,pot_en,pert_en,metad_offset
13,300.0,-1.0,0.3,0.5,0.1,110.0,0.0,-160118.65909781796,-0.40238856357552577,0.0
13,300.0,-1.0,0.3,0.5,0.1,110.0,0.0,-160156.66708352597,3.157489842256214,0.0
13,300.0,-1.0,0.3,0.5,0.1,110.0,0.0,-160159.70479068038,2.13471334249522,0.0
13,300.0,-1.0,0.3,0.5,0.1,110.0,0.0,-160170.27285036605,2.5931188754780115,0.0
13,300.0,-1.0,0.3,0.5,0.1,110.0,0.0,-160150.98801492513,10.212360331022944,0.0
13,300.0,-1.0,0.3,0.5,0.1,110.0,0.0,-160205.1079567969,0.5699726637189292,0.0
13,300.0,-1.0,0.3,0.5,0.1,110.0,0.0,-160032.86656733288,10.038240917782026,0.0
13,300.0,-1.0,0.3,0.5,0.1,110.0,0.0,-160661.27658334927,15.653008484703632,0.0
13,300.0,-1.0,0.3,0.5,0.1,110.0,0.0,-160398.3084353592,14.515864005736137,0.0
13,300.0,-1.0,0.3,0.5,0.1,110.0,0.0,-160340.38258288504,12.915179104923517,0.0
13,300.0,-1.0,0.3,0.5,0.1,110.0,0.0,-160453.38298740122,9.535488617351817,0.0
13,300.0,-1.0,0.3,0.5,0.1,110.0,0.0,-160358.7039422544,3.2807271749521987,0.0
13,300.0,-1.0,0.3,0.5,0.1,110.0,0.0,-160388.8053609352,2.0880325346558317,0.0
13,300.0,-1.0,0.3,0.5,0.1,110.0,0.0,-160101.4538156327,11.553499940248566,0.0
13,300.0,-1.0,0.3,0.5,0.1,110.0,0.0,-160301.9435726265,5.4476502748565965,0.0
13,300.0,-1.0,0.3,0.5,0.1,110.0,0.0,-160377.02728680737,5.8234307779636705,0.0
13,300.0,-1.0,0.3,0.5,0.1,110.0,0.0,-160259.35795179417,-1.1679538121414914,0.0
13,300.0,-1.0,0.3,0.5,0.1,110.0,0.0,-160220.96747158462,10.160544634321223,0.0
13,300.0,-1.0,0.3,0.5,0.1,110.0,0.0,-160299.4686299245,8.759186782982791,0.0
13,300.0,-1.0,0.3,0.5,0.1,110.0,0.0,-160401.4949608653,11.856925191204589,0.0
13,300.0,-1.0,0.3,0.5,0.1,110.0,0.0,-160283.26778772203,20.24920082456979,0.0
13,300.0,-1.0,0.3,0.5,0.1,110.0,0.0,-160229.60141166288,12.481514400095602,0.0
13,300.0,-1.0,0.3,0.5,0.1,110.0,0.0,-160343.85678329816,10.28751643164436,0.0
13,300.0,-1.0,0.3,0.5,0.1,110.0,0.0,-160366.5217952595,6.494233986615678,0.0
13,300.0,-1.0,0.3,0.5,0.1,110.0,0.0,-160071.0405437672,4.676950137428298,0.0
13,300.0,-1.0,0.3,0.5,0.1,110.0,0.0,-160523.30045512164,5.10174548876673,0.0
13,300.0,-1.0,0.3,0.5,0.1,110.0,0.0,-160337.19591078628,2.6299967136711278,0.0
13,300.0,-1.0,0.3,0.5,0.1,110.0,0.0,-160446.81436613647,17.02262338671128,0.0
13,300.0,-1.0,0.3,0.5,0.1,110.0,0.0,-160335.25894822762,-2.27662299832696,0.0
13,300.0,-1.0,0.3,0.5,0.1,110.0,0.0,-160257.19295860047,-2.393791826003824,0.0
13,300.0,-1.0,0.3,0.5,0.1,110.0,0.0,-160417.20784952457,8.440823673518164,0.0
13,300.0,-1.0,0.3,0.5,0.1,110.0,0.0,-160376.24155249077,8.39087520913002,0.0
13,300.0,-1.0,0.3,0.5,0.1,110.0,0.0,-160490.45953575114,10.636688874282981,0.0
13,300.0,-1.0,0.3,0.5,0.1,110.0,0.0,-160392.84299085464,3.8208241216539194,0.0
13,300.0,-1.0,0.3,0.5,0.1,110.0,0.0,-160282.71411475367,4.812324480162523,0.0
13,300.0,-1.0,0.3,0.5,0.1,110.0,0.0,-160718.94193681036,7.4465224665391965,0.0
13,300.0,-1.0,0.3,0.5,0.1,110.0,0.0,-160263.04063781514,3.9982111914435943,0.0
13,300.0,-1.0,0.3,0.5,0.1,110.0,0.0,-160232.79792840916,14.532669096558317,0.0
13,300.0,-1.0,0.3,0.5,0.1,110.0,0.0,-160391.15667941442,18.0281279875717,0.0
13,300.0,-1.0,0.3,0.5,0.1,110.0,0.0,-160344.45027673675,15.324842405592733,0.0
13,300.0,-1.0,0.3,0.5,0.1,110.0,0.0,-160302.88363010704,-3.4011636591778203,0.0
13,300.0,-1.0,0.3,0.5,0.1,110.0,0.0,-160320.57837801834,5.3510210026290626,0.0
13,300.0,-1.0,0.3,0.5,0.1,110.0,0.0,-160556.59794795315,8.021163211042065,0.0
13,300.0,-1.0,0.3,0.5,0.1,110.0,0.0,-160392.53637722283,3.0814001254780115,0.0
13,300.0,-1.0,0.3,0.5,0.1,110.0,0.0,-160256.92227841011,7.06093899378585,0.0
13,300.0,-1.0,0.3,0.5,0.1,110.0,0.0,-160403.08899649748,2.7238251374282982,0.0
13,300.0,-1.0,0.3,0.5,0.1,110.0,0.0,-160103.8552660547,4.837532116395793,0.0
13,300.0,-1.0,0.3,0.5,0.1,110.0,0.0,-160351.30710797172,18.39597275334608,0.0
13,300.0,-1.0,0.3,0.5,0.1,110.0,0.0,-160079.22502438456,11.607649677342256,0.0
13,300.0,-1.0,0.3,0.5,0.1,110.0,0.0,-159905.2886193442,3.7386658998565965,0.0
13,300.0,-1.0,0.3,0.5,0.1,110.0,0.0,-159924.33857134165,6.889153620936902,0.0
13,300.0,-1.0,0.3,0.5,0.1,110.0,0.0,-160068.65327253976,10.182951422084129,0.0
13,300.0,-1.0,0.3,0.5,0.1,110.0,0.0,-160450.0756475095,5.359890356118546,0.0
13,300.0,-1.0,0.3,0.5,0.1,110.0,0.0,-160166.57586430444,12.37414854206501,0.0
13,300.0,-1.0,0.3,0.5,0.1,110.0,0.0,-160215.16888560462,9.350165810229445,0.0
13,300.0,-1.0,0.3,0.5,0.1,110.0,0.0,-160227.45546412468,4.6106633902963665,0.0
13,300.0,-1.0,0.3,0.5,0.1,110.0,0.0,-160179.8409091681,11.609050101577438,0.0
13,300.0,-1.0,0.3,0.5,0.1,110.0,0.0,-160374.47820854254,-5.838368636472275,0.0
13,300.0,-1.0,0.3,0.5,0.1,110.0,0.0,-160585.81971403473,21.58567235301147,0.0
13,300.0,-1.0,0.3,0.5,0.1,110.0,0.0,-160492.15421667404,11.542296546367112,0.0
13,300.0,-1.0,0.3,0.5,0.1,110.0,0.0,-160349.78214166375,12.61968959130019,0.0
13,300.0,-1.0,0.3,0.5,0.1,110.0,0.0,-160063.6446695296,12.73032310587954,0.0
13,300.0,-1.0,0.3,0.5,0.1,110.0,0.0,-160313.16539203952,9.032269508843212,0.0
13,300.0,-1.0,0.3,0.5,0.1,110.0,0.0,-160353.1808321472,7.622975920172084,0.0
13,300.0,-1.0,0.3,0.5,0.1,110.0,0.0,-160085.36856601457,6.811196671845124,0.0
13,300.0,-1.0,0.3,0.5,0.1,110.0,0.0,-160178.27482595746,4.5677170470841295,0.0
13,300.0,-1.0,0.3,0.5,0.1,110.0,0.0,-160329.6052717813,4.257756483030592,0.0
13,300.0,-1.0,0.3,0.5,0.1,110.0,0.0,-160044.30374383862,4.7231641371892925,0.0
13,300.0,-1.0,0.3,0.5,0.1,110.0,0.0,-160557.68335080397,9.003327407982791,0.0
13,300.0,-1.0,0.3,0.5,0.1,110.0,0.0,-160209.64509248672,6.594597723470363,0.0
13,300.0,-1.0,0.3,0.5,0.1,110.0,0.0,-160318.36367080777,3.401630467256214,0.0
13,300.0,-1.0,0.3,0.5,0.1,110.0,0.0,-160452.16789703505,7.481533072418737,0.0
13,300.0,-1.0,0.3,0.5,0.1,110.0,0.0,-160391.83876487,2.8493965105162524,0.0
13,300.0,-1.0,0.3,0.5,0.1,110.0,0.0,-160581.15593062298,1.9479901111376672,0.0
13,300.0,-1.0,0.3,0.5,0.1,110.0,0.0,-160371.13500419055,8.210220482791586,0.0
13,300.0,-1.0,0.3,0.5,0.1,110.0,0.0,-160250.5288392525,13.78250851457935,0.0
13,300.0,-1.0,0.3,0.5,0.1,110.0,0.0,-160229.9859810103,3.980472484464627,0.0
13,300.0,-1.0,0.3,0.5,0.1,110.0,0.0,-160243.44448013272,8.051505736137667,0.0
13,300.0,-1.0,0.3,0.5,0.1,110.0,0.0,-160424.79337737444,5.570420799474187,0.0
13,300.0,-1.0,0.3,0.5,0.1,110.0,0.0,-160278.73310637427,4.253088402246654,0.0
13,300.0,-1.0,0.3,0.5,0.1,110.0,0.0,-160511.01702086904,13.072493427342256,0.0
13,300.0,-1.0,0.3,0.5,0.1,110.0,0.0,-160375.8247993539,9.794100292782026,0.0
13,300.0,-1.0,0.3,0.5,0.1,110.0,0.0,-160773.11750667903,9.543424354684513,0.0
13,300.0,-1.0,0.3,0.5,0.1,110.0,0.0,-160358.57981091813,3.9902754541108982,0.0
13,300.0,-1.0,0.3,0.5,0.1,110.0,0.0,-160276.7076352235,6.61700451123327,0.0
13,300.0,-1.0,0.3,0.5,0.1,110.0,0.0,-160254.13743476407,8.499641491395794,0.0
