window,temperature,direction,lambda1,lambda2,alpha,uh,w0,pot_en,pert_en,metad_offset
2,300.0,1.0,0.0,0.2,0.1,110.0,0.0,-160522.26287068965,126.60232840542871,0.0
2,300.0,1.0,0.0,0.2,0.1,110.0,0.0,-160532.89863138134,95.98601069550669,0.0
2,300.0,1.0,0.0,0.2,0.1,110.0,0.0,-160224.25316419013,111.4713704538555,0.0
2,300.0,1.0,0.0,0.2,0.1,110.0,0.0,-160349.7438698847,117.36132679952283,0.0
2,300.0,1.0,0.0,0.2,0.1,110.0,0.0,-160282.56765764274,114.82810658762324,0.0
2,300.0,1.0,0.0,0.2,0.1,110.0,0.0,-160471.72024079016,107.36372446640489,0.0
2,300.0,1.0,0.0,0.2,0.1,110.0,0.0,-159995.04601476862,129.72264777276828,0.0
2,300.0,1.0,0.0,0.2,0.1,110.0,0.0,-159990.01262387037,133.50579175881543,0.0
2,300.0,1.0,0.0,0.2,0.1,110.0,0.0,-160305.66128865123,121.4270442674143,0.0
2,300.0,1.0,0.0,0.2,0.1,110.0,0.0,-160220.94245245797,138.65253862615793,0.0
2,300.0,1.0,0.0,0.2,0.1,110.0,0.0,-160426.53027254474,127.66457235110748,0.0
2,300.0,1.0,0.0,0.2,0.1,110.0,0.0,-160321.26213787717,122.03809203911715,0.0
2,300.0,1.0,0.0,0.2,0.1,110.0,0.0,-160364.2684569713,124.76154662512637,0.0
2,300.0,1.0,0.0,0.2,0.1,110.0,0.0,-160084.57211853916,133.26174576945553,0.0
2,300.0,1.0,0.0,0.2,0.1,110.0,0.0,-160084.79797542965,143.10349834001423,0.0
2,300.0,1.0,0.0,0.2,0.1,110.0,0.0,-160157.54540663,148.60928786325607,0.0
2,300.0,1.0,0.0,0.2,0.1,110.0,0.0,-160617.9736221344,151.4633067805565,0.0
2,300.0,1.0,0.0,0.2,0.1,110.0,0.0,-160532.52771469936,141.37300599099714,0.0
2,300.0,1.0,0.0,0.2,0.1,110.0,0.0,-160549.09098197313,144.95168006589876,0.0
2,300.0,1.0,0.0,0.2,0.1,110.0,0.0,-160338.30095340448,136.1884574691173,0.0
2,300.0,1.0,0.0,0.2,0.1,110.0,0.0,-160133.65572342073,133.83874689808803,0.0
2,300.0,1.0,0.0,0.2,0.1,110.0,0.0,-160367.2953625633,139.20660374370937,0.0
